benchmark,target_ms,notes
AnimatorUpdateBenchmark.update100Joints,1.000,canonical forked run perf/comprehensive-20260223-095130.csv measured 0.009167 ms/op
MotionMatcherBenchmark.findBest10kFrames,0.500,canonical forked run perf/comprehensive-20260223-095130.csv measured 0.213391 ms/op
ClipSamplerBenchmark.sample60SecondClip,0.300,canonical forked run perf/comprehensive-20260223-095130.csv measured 0.001323 ms/op
SkinningComputerBenchmark.compute100Joints,0.300,canonical forked run perf/comprehensive-20260223-095130.csv measured 0.006915 ms/op
