"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.animis.perf.AnimatorUpdateBenchmark.update100Joints","avgt",1,20,0.009167,0.000084,"ms/op"
"org.animis.perf.ClipSamplerBenchmark.sample60SecondClip","avgt",1,20,0.001323,0.000008,"ms/op"
"org.animis.perf.MotionMatcherBenchmark.findBest10kFrames","avgt",1,20,0.213391,0.001053,"ms/op"
"org.animis.perf.SkinningComputerBenchmark.compute100Joints","avgt",1,20,0.006915,0.000183,"ms/op"
